subject,professor,lecture_type,time,room
Nanomaterials and Nanocomposites(Nanomaterials and Nanocomposites),자이날 아비당 탈립,원격강좌(실시간),:  ,"월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B"
ODA Policies in Global Development Strategy(ODA Policies in Global Development Strategy),문경연,일반,전주:인문대학2호관 507 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
Political Economy of Global Issues(Political Economy of Global Issues),한수진,일반,전주:인문사회관 323 ,"수 5-A,수 5-B,수 6-A,수 6-B,수 7-A,수 7-B"
Politics of East Asia(Politics of East Asia),곽동진,일반,전주:뉴실크로드센터 201 ,"금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B"
Python 프로그래밍,최규빈,화상강의,전주:학습도서관 203 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
Python 프로그래밍 1,우선미,일반,전주:공과대학 5호관 507 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
RNA바이러스특론,정병훈,일반,전주:자연과학대학4호관 412 ,"금 5-A,금 5-B,금 6-A,금 6-B,금 7-A,금 7-B"
Reading Comtemporary Korean Society through Technology(Reading Comtemporary Korean Society through Technology),이영주,일반,전주:뉴실크로드센터 201 ,"화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B"
Renewable Energy(Renewable Energy),아민 사디아,일반,전주:뉴실크로드센터 201 ,"월 1-A,월 1-B,월 2-A,월 2-B,월 3-A,월 3-B"
Renewable Energy(Renewable Energy),제리 차키브,원격강좌(실시간),:  ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
R프로그래밍,한경수,일반,전주:자연과학대학본관 218 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
Science and Civilization in Korea(Science and Civilization in Korea),김태호,일반,전주:뉴실크로드센터 201 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
Social Research Design(Social Research Design),김보경,일반,전주:글로벌인재관 219 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
"Social, Economic, and Environmental Sustainability(Social, Economic, and Environmental Sustainability)",마즐란 모드 타히르,원격강좌(실시간),:  ,"월 8-A,월 8-B,월 9-A,월 9-B,월 10-A,월 10-B"
Start-up결실관리(영농창업),최동근,일반,전주:농업생명과학대학2호관 217-1 ,"월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B,월 9-A,월 9-B"
Trends and Topics in Crime Fiction(Trends and Topics in Crime Fiction),패드게이트,원격강좌(실시간),:  ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
UX디자인,정주연,일반,전주:예술대학 본관 2080 ,"월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B"
Understanding International Law(Understanding International Law),전광호,일반,전주:인문대학2호관 507 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B"
Wars that Changed Northeast Asia(Wars that Changed Northeast Asia),권의석,일반,전주:뉴실크로드센터 201 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
Zertifikat Deutsch 1,이은성,일반,전주:사범대 본관 312 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
新식품가공학,김영수,블렌디드러닝,전주:농업생명과학대학4호관 423 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
東北亞人文歷史,진명호,일반,전주:인문대학1호관 202 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
通过语言看到的东亚,전용진,일반,전주:진수당 504 ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,수 3-B"
가공역학,오성훈,일반,전주:공과대학 4호관 126 ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
가공의치학문헌고찰,서재민,일반,전주:치과대학 2호관 104 ,"목 1-A,목 1-B,목 2-A,목 2-B,목 3-A,목 3-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
가구디자인 3,신영식,일반,전주:미술관 3030 ,"월 2-A,월 2-B,월 3-A,월 3-B,월 4-A,월 4-B"
가구디자인 5,방향란,일반,전주:미술관 3030 ,"화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B"
가구사,방향란,일반,전주:미술관 3030 ,"화 6-A,화 6-B,화 7-A,화 7-B"
